OBJECTID,Value,X,Y
1,1339.78,-1500,-1500
2,1352.15,-1500,-1400
3,1366.53,-1500,-1300
4,1382.43,-1500,-1200
5,1399.19,-1500,-1100
6,1416.07,-1500,-1000
7,1432.27,-1500,-900
8,1447.08,-1500,-800
9,1459.95,-1500,-700
10,1470.54,-1500,-600
11,1478.76,-1500,-500
12,1484.73,-1500,-400
13,1488.76,-1500,-300
14,1491.25,-1500,-200
15,1492.56,-1500,-100
16,1492.96,-1500,0
17,1492.56,-1500,100
18,1491.25,-1500,200
19,1488.76,-1500,300
20,1484.73,-1500,400
21,1478.76,-1500,500
22,1470.54,-1500,600
23,1459.95,-1500,700
24,1447.08,-1500,800
25,1432.27,-1500,900
26,1416.07,-1500,1000
27,1399.19,-1500,1100
28,1382.43,-1500,1200
29,1366.53,-1500,1300
30,1352.15,-1500,1400
31,1339.78,-1500,1500
32,1352.15,-1400,-1500
33,1366.96,-1400,-1400
34,1383.67,-1400,-1300
35,1401.62,-1400,-1200
36,1419.96,-1400,-1100
37,1437.76,-1400,-1000
38,1454.12,-1400,-900
39,1468.27,-1400,-800
40,1479.69,-1400,-700
41,1488.17,-1400,-600
42,1493.84,-1400,-500
43,1497.1,-1400,-400
44,1498.58,-1400,-300
45,1498.98,-1400,-200
46,1498.93,-1400,-100
47,1498.86,-1400,0
48,1498.93,-1400,100
49,1498.98,-1400,200
50,1498.58,-1400,300
51,1497.1,-1400,400
52,1493.84,-1400,500
53,1488.17,-1400,600
54,1479.69,-1400,700
55,1468.27,-1400,800
56,1454.12,-1400,900
57,1437.76,-1400,1000
58,1419.96,-1400,1100
59,1401.62,-1400,1200
60,1383.67,-1400,1300
61,1366.96,-1400,1400
62,1352.15,-1400,1500
63,1366.53,-1300,-1500
64,1383.67,-1300,-1400
65,1402.44,-1300,-1300
66,1421.92,-1300,-1200
67,1441.08,-1300,-1100
68,1458.79,-1300,-1000
69,1474.03,-1300,-900
70,1486.01,-1300,-800
71,1494.31,-1300,-700
72,1498.92,-1300,-600
73,1500.27,-1300,-500
74,1499.18,-1300,-400
75,1496.68,-1300,-300
76,1493.88,-1300,-200
77,1491.76,-1300,-100
78,1490.97,-1300,0
79,1491.76,-1300,100
80,1493.88,-1300,200
81,1496.68,-1300,300
82,1499.18,-1300,400
83,1500.27,-1300,500
84,1498.92,-1300,600
85,1494.31,-1300,700
86,1486.01,-1300,800
87,1474.03,-1300,900
88,1458.79,-1300,1000
89,1441.08,-1300,1100
90,1421.92,-1300,1200
91,1402.44,-1300,1300
92,1383.67,-1300,1400
93,1366.53,-1300,1500
94,1382.43,-1200,-1500
95,1401.62,-1200,-1400
96,1421.92,-1200,-1300
97,1442.19,-1200,-1200
98,1461.11,-1200,-1100
99,1477.38,-1200,-1000
100,1489.87,-1200,-900
101,1497.83,-1200,-800
102,1500.96,-1200,-700
103,1499.57,-1200,-600
104,1494.52,-1200,-500
105,1487.13,-1200,-400
106,1478.98,-1200,-300
107,1471.7,-1200,-200
108,1466.71,-1200,-100
109,1464.93,-1200,0
110,1466.71,-1200,100
111,1471.7,-1200,200
112,1478.98,-1200,300
113,1487.13,-1200,400
114,1494.52,-1200,500
115,1499.57,-1200,600
116,1500.96,-1200,700
117,1497.83,-1200,800
118,1489.87,-1200,900
119,1477.38,-1200,1000
120,1461.11,-1200,1100
121,1442.19,-1200,1200
122,1421.92,-1200,1300
123,1401.62,-1200,1400
124,1382.43,-1200,1500
125,1399.19,-1100,-1500
126,1419.96,-1100,-1400
127,1441.08,-1100,-1300
128,1461.11,-1100,-1200
129,1478.47,-1100,-1100
130,1491.68,-1100,-1000
131,1499.52,-1100,-900
132,1501.28,-1100,-800
133,1496.93,-1100,-700
134,1487.16,-1100,-600
135,1473.37,-1100,-500
136,1457.52,-1100,-400
137,1441.89,-1100,-300
138,1428.73,-1100,-200
139,1419.97,-1100,-100
140,1416.9,-1100,0
141,1419.97,-1100,100
142,1428.73,-1100,200
143,1441.89,-1100,300
144,1457.52,-1100,400
145,1473.37,-1100,500
146,1487.16,-1100,600
147,1496.93,-1100,700
148,1501.28,-1100,800
149,1499.52,-1100,900
150,1491.68,-1100,1000
151,1478.47,-1100,1100
152,1461.11,-1100,1200
153,1441.08,-1100,1300
154,1419.96,-1100,1400
155,1399.19,-1100,1500
156,1416.07,-1000,-1500
157,1437.76,-1000,-1400
158,1458.79,-1000,-1300
159,1477.38,-1000,-1200
160,1491.68,-1000,-1100
161,1500,-1000,-1000
162,1501.09,-1000,-900
163,1494.35,-1000,-800
164,1480.05,-1000,-700
165,1459.38,-1000,-600
166,1434.42,-1000,-500
167,1407.89,-1000,-400
168,1382.87,-1000,-300
169,1362.38,-1000,-200
170,1348.95,-1000,-100
171,1344.28,-1000,0
172,1348.95,-1000,100
173,1362.38,-1000,200
174,1382.87,-1000,300
175,1407.89,-1000,400
176,1434.42,-1000,500
177,1459.38,-1000,600
178,1480.05,-1000,700
179,1494.35,-1000,800
180,1501.09,-1000,900
181,1500,-1000,1000
182,1491.68,-1000,1100
183,1477.38,-1000,1200
184,1458.79,-1000,1300
185,1437.76,-1000,1400
186,1416.07,-1000,1500
187,1432.27,-900,-1500
188,1454.12,-900,-1400
189,1474.03,-900,-1300
190,1489.87,-900,-1200
191,1499.52,-900,-1100
192,1501.09,-900,-1000
193,1493.3,-900,-900
194,1475.74,-900,-800
195,1449.06,-900,-700
196,1415.06,-900,-600
197,1376.57,-900,-500
198,1337.22,-900,-400
199,1301.02,-900,-300
200,1271.82,-900,-200
201,1252.87,-900,-100
202,1246.3,-900,0
203,1252.87,-900,100
204,1271.82,-900,200
205,1301.02,-900,300
206,1337.22,-900,400
207,1376.57,-900,500
208,1415.06,-900,600
209,1449.06,-900,700
210,1475.74,-900,800
211,1493.3,-900,900
212,1501.09,-900,1000
213,1499.52,-900,1100
214,1489.87,-900,1200
215,1474.03,-900,1300
216,1454.12,-900,1400
217,1432.27,-900,1500
218,1447.08,-800,-1500
219,1468.27,-800,-1400
220,1486.01,-800,-1300
221,1497.83,-800,-1200
222,1501.28,-800,-1100
223,1494.35,-800,-1000
224,1475.74,-800,-900
225,1445.27,-800,-800
226,1404.05,-800,-700
227,1354.56,-800,-600
228,1300.51,-800,-500
229,1246.51,-800,-400
230,1197.56,-800,-300
231,1158.49,-800,-200
232,1133.28,-800,-100
233,1124.57,-800,0
234,1133.28,-800,100
235,1158.49,-800,200
236,1197.56,-800,300
237,1246.51,-800,400
238,1300.51,-800,500
239,1354.56,-800,600
240,1404.05,-800,700
241,1445.27,-800,800
242,1475.74,-800,900
243,1494.35,-800,1000
244,1501.28,-800,1100
245,1497.83,-800,1200
246,1486.01,-800,1300
247,1468.27,-800,1400
248,1447.08,-800,1500
249,1459.95,-700,-1500
250,1479.69,-700,-1400
251,1494.31,-700,-1300
252,1500.96,-700,-1200
253,1496.93,-700,-1100
254,1480.05,-700,-1000
255,1449.06,-700,-900
256,1404.05,-700,-800
257,1346.65,-700,-700
258,1280.06,-700,-600
259,1208.94,-700,-500
260,1138.93,-700,-400
261,1076.14,-700,-300
262,1026.35,-700,-200
263,994.367,-700,-100
264,983.337,-700,0
265,994.367,-700,100
266,1026.35,-700,200
267,1076.14,-700,300
268,1138.93,-700,400
269,1208.94,-700,500
270,1280.06,-700,600
271,1346.65,-700,700
272,1404.05,-700,800
273,1449.06,-700,900
274,1480.05,-700,1000
275,1496.93,-700,1100
276,1500.96,-700,1200
277,1494.31,-700,1300
